provider,game_name,Game Tag,Game Sub Type,sub_category,casinoGameId,game_id,description,logo_round,logo_square,banner
Ncasino,Magic Apple 2,RNG,Slot,Slot,bng_magic_apple_2,5286,0,,,
Ncasino,Mariachi Lock,RNG,Slot,Slot,bng_mariachi_lock,5287,0,,,
Ncasino,Maya Sun,RNG,Slot,Slot,bng_maya_sun,5288,0,,,
Ncasino,Moon sisters,RNG,Slot,Slot,bng_moon_sisters,5289,0,,,
Ncasino,More Magic Apple,RNG,Slot,Slot,bng_more_magic_apple,5290,0,,,
Ncasino,Nights of Fire,RNG,Slot,Slot,bng_nights_of_fire,5291,0,,,
Ncasino,Pearl Diver,RNG,Slot,Slot,bng_pearl_diver,5292,0,,,
Ncasino,Pearl Diver 2 Treasure Chest,RNG,Slot,Slot,bng_pearl_diver_2_treasure_chest,5293,0,,,
Ncasino,Power Sun,RNG,Slot,Slot,bng_power_sun,5294,0,,,
Ncasino,Queen of the Sun,RNG,Slot,Slot,bng_queen_of_the_sun,5295,0,,,
Ncasino,Rio Gems,RNG,Slot,Slot,bng_rio_gems,5296,0,,,
Ncasino,Rocket Wins,RNG,Slot,Slot,bng_rocket_wins,5297,0,,,
Ncasino,Scarab Boost,RNG,Slot,Slot,bng_scarab_boost,5298,0,,,
Ncasino,Scarab Temple,RNG,Slot,Slot,bng_scarab_temple,5299,0,,,
Ncasino,Sky Coins,RNG,Slot,Slot,bng_sky_coins,5300,0,,,
Ncasino,Sky Pearls,RNG,Slot,Slot,bng_sky_pearls,5301,0,,,
Ncasino,Sticky Piggy,RNG,Slot,Slot,bng_sticky_piggy,5302,0,,,
Ncasino,Sun of Egypt,RNG,Slot,Slot,bng_sun_of_egypt,5303,0,,,
Ncasino,Sun of Egypt 2,RNG,Slot,Slot,bng_sun_of_egypt_2,5304,0,,,
Ncasino,Sun of Egypt 3,RNG,Slot,Slot,bng_sun_of_egypt_3,5305,0,,,
Ncasino,Sun of Egypt 4,RNG,Slot,Slot,bng_sun_of_egypt_4,5306,0,,,
Ncasino,Sunlight Princess,RNG,Slot,Slot,bng_sunlight_princess,5307,0,,,
Ncasino,Super Hot Chilli,RNG,Slot,Slot,bng_super_hot_chilli,5308,0,,,
Ncasino,Super Sticky Piggy,RNG,Slot,Slot,bng_super_sticky_piggy,5309,0,,,
Ncasino,Thunder of Olympus,RNG,Slot,Slot,bng_thunder_of_olympus,5310,0,,,
Ncasino,Tiger Gems,RNG,Slot,Slot,bng_tiger_gems,5311,0,,,
Ncasino,Tiger Jungle,RNG,Slot,Slot,bng_tiger_jungle,5312,0,,,
Ncasino,Tiger Stone,RNG,Slot,Slot,bng_tiger_stone,5313,0,,,
Ncasino,Tigers Gold,RNG,Slot,Slot,bng_tigers_gold,5314,0,,,
Ncasino,Wolf Night,RNG,Slot,Slot,bng_wolf_night,5315,0,,,
Ncasino,Wolf Saga,RNG,Slot,Slot,bng_wolf_saga,5316,0,,,
Ncasino,Banana Saga,RNG,Slot,Slot,jdb_banana_saga,5317,0,,,
Ncasino,Beauty And The Kingdom,RNG,Slot,Slot,jdb_beauty_and_the_kingdom,5318,0,,,
Ncasino,Beer Tycoon,RNG,Slot,Slot,jdb_beer_tycoon,5319,0,,,
Ncasino,BigThreeDragons,RNG,Slot,Slot,jdb_bigthreedragons,5320,0,,,
Ncasino,Billionaire,RNG,Slot,Slot,jdb_billionaire,5321,0,,,
Ncasino,Birds and Animals,RNG,Slot,Slot,jdb_birds_and_animals,5322,0,,,
Ncasino,BirdsParty,RNG,Slot,Slot,jdb_birdsparty,5323,0,,,
Ncasino,Birdsparty Deluxe,RNG,Slot,Slot,jdb_birdsparty_deluxe,5324,0,,,
Ncasino,Blossom of Wealth,RNG,Slot,Slot,jdb_blossom_of_wealth,5325,0,,,
Ncasino,Book of Mystery,RNG,Slot,Slot,jdb_book_of_mystery,5326,0,,,
Ncasino,Bull Treasure,RNG,Slot,Slot,jdb_bull_treasure,5327,0,,,
Ncasino,Cai Shen Bingo,RNG,Slot,Slot,jdb_cai_shen_bingo,5328,0,,,
Ncasino,CaiShen Coming,RNG,Slot,Slot,jdb_caishen_coming,5329,0,,,
Ncasino,CaiShen Party,RNG,Slot,Slot,jdb_caishen_party,5330,0,,,
Ncasino,Classic Mario,RNG,Slot,Slot,jdb_classic_mario,5331,0,,,
Ncasino,CooCoo Farm,RNG,Slot,Slot,jdb_coocoo_farm,5332,0,,,
Ncasino,Crazy King Kong,RNG,Slot,Slot,jdb_crazy_king_kong,5333,0,,,
Ncasino,Dice,RNG,Slot,Slot,jdb_dice,5334,0,,,
Ncasino,DoubleWilds,RNG,Slot,Slot,jdb_doublewilds,5335,0,,,
Ncasino,Dragon,RNG,Slot,Slot,jdb_dragon,5336,0,,,
Ncasino,Dragon Soar - Hyper Wild,RNG,Slot,Slot,jdb_dragon_soar__hyper_wild,5337,0,,,
Ncasino,DragonsGate,RNG,Slot,Slot,jdb_dragonsgate,5338,0,,,
Ncasino,DragonsWorld,RNG,Slot,Slot,jdb_dragonsworld,5339,0,,,
Ncasino,Elemental Link Fire,RNG,Slot,Slot,jdb_elemental_link_fire,5340,0,,,
Ncasino,Elemental Link Water,RNG,Slot,Slot,jdb_elemental_link_water,5341,0,,,
Ncasino,Firework Burst,RNG,Slot,Slot,jdb_firework_burst,5342,0,,,
Ncasino,Fishin' Fever X-Huge,RNG,Slot,Slot,jdb_fishin_fever_xhuge,5343,0,,,
Ncasino,Flirting Scholar Tang,RNG,Slot,Slot,jdb_flirting_scholar_tang,5344,0,,,
Ncasino,Formosa Bear,RNG,Slot,Slot,jdb_formosa_bear,5345,0,,,
Ncasino,Fortune Horse,RNG,Slot,Slot,jdb_fortune_horse,5346,0,,,
Ncasino,Fortune Jewel,RNG,Slot,Slot,jdb_fortune_jewel,5347,0,,,
Ncasino,Fortune Neko,RNG,Slot,Slot,jdb_fortune_neko,5348,0,,,
Ncasino,Fortune Treasure,RNG,Slot,Slot,jdb_fortune_treasure,5349,0,,,
Ncasino,Four Treasures,RNG,Slot,Slot,jdb_four_treasures,5350,0,,,
Ncasino,Fruity Bonanza,RNG,Slot,Slot,jdb_fruity_bonanza,5351,0,,,
Ncasino,Fruity Bonanza Combo,RNG,Slot,Slot,jdb_fruity_bonanza_combo,5352,0,,,
Ncasino,FunkyKingKong,RNG,Slot,Slot,jdb_funkykingkong,5353,0,,,
Ncasino,Galaxy Burst,RNG,Slot,Slot,jdb_galaxy_burst,5354,0,,,
Ncasino,Glamorous Girl,RNG,Slot,Slot,jdb_glamorous_girl,5355,0,,,
Ncasino,Goal,RNG,Slot,Slot,jdb_goal,5356,0,,,
Ncasino,GoLaiFu,RNG,Slot,Slot,jdb_golaifu,5357,0,,,
Ncasino,Gold Rooster Lottery,RNG,Slot,Slot,jdb_gold_rooster_lottery,5358,0,,,
Ncasino,GoldenDisco,RNG,Slot,Slot,jdb_goldendisco,5359,0,,,
Ncasino,Happy Lottery,RNG,Slot,Slot,jdb_happy_lottery,5360,0,,,
Ncasino,Happy New Year,RNG,Slot,Slot,jdb_happy_new_year,5361,0,,,
Ncasino,HiLo,RNG,Slot,Slot,jdb_hilo,5362,0,,,
